m,l0,phi,eps,is_sat
0.28894472,0.020603014,1.0508955,0.17515266,False
0.2914573,0.020603014,1.0522922,0.17711245,False
0.29396984,0.020603014,1.0536724,0.17907587,False
0.2964824,0.020603014,1.0550363,0.1810426,False
0.29899496,0.020603014,1.056384,0.18301262,False
0.30150753,0.020603014,1.057716,0.1849861,False
0.3040201,0.020603014,1.0590324,0.18696292,False
0.30653265,0.020603014,1.0603338,0.18894386,False
0.30904523,0.020603014,1.0616201,0.19092828,False
0.3115578,0.020603014,1.0628916,0.19291265,False
0.31407034,0.020603014,1.0641487,0.19490227,False
0.31658292,0.020603014,1.0653915,0.196895,False
0.31909546,0.020603014,1.0666205,0.1988911,False
0.32160804,0.020603014,1.0678356,0.2008902,False
0.3241206,0.020603014,1.0690371,0.20289259,False
0.32663316,0.020603014,1.0702254,0.2048979,False
0.32914573,0.020603014,1.0714005,0.2069065,False
0.33165827,0.020603014,1.0725628,0.20891811,False
0.33417085,0.020603014,1.0737123,0.21093251,False
0.33668342,0.020603014,1.0748495,0.2129503,False
0.33919597,0.020603014,1.0759741,0.21497113,False
0.34170854,0.020603014,1.0770868,0.21699469,False
0.34422112,0.020603014,1.0781876,0.21902145,False
0.34673366,0.020603014,1.0792767,0.22105111,False
0.34924623,0.020603014,1.0803541,0.22308373,False
0.35175878,0.020603014,1.0814202,0.2251194,False
0.35427135,0.020603014,1.0824752,0.22715794,False
0.35678393,0.020603014,1.083519,0.22919917,False
0.35929647,0.020603014,1.0845519,0.23124371,False
0.36180905,0.020603014,1.0855742,0.23329099,False
0.3643216,0.020603014,1.0865858,0.23534091,False
0.36683416,0.020603014,1.087587,0.2373942,False
0.36934674,0.020603014,1.0885779,0.23944998,False
